1,KVS(キーバリューストア),1,"KeyとValueを組み合わせる単純な構造からなるデータストア。
Keyを指定すると、Keyに関連付けられたValueが呼び出される仕組み",2020-07-08T05:06:58.110,2020-07-08T05:06:58.110
2,ST,1,システムテスト,2020-07-08T05:06:58.111,2020-07-08T05:06:58.111
3,サマリ,1,大きなデータベースを集計したもの,2020-07-08T05:06:58.112,2020-07-08T05:06:58.112
4,JDG,1,Chronousで使っているDBのストレージ。Jboss Data Grid,2020-07-08T05:06:58.113,2020-07-08T05:06:58.113
5,デグレ(デグレード),1,ソフトウェア開発において、プログラムを手直しした際に修正部分以外の個所で不整合・不具合が発生したり、バージョン管理の手抜かりなどによって以前の状態に戻ってしまい、修正済みだったバグが再発したりすること。,2020-07-08T05:06:58.114,2020-07-08T05:06:58.114
6,オンサイト開発,1,プロジェクト現場に他社メンバーが常駐し、自社メンバーと一緒にシステム開発を行うこと。,2020-07-08T05:06:58.115,2020-07-08T05:06:58.115
7,貸し倒れ,1,"売掛金や貸付金などが回収できなくなり、損失となること
SBではどうか？↓
貸し倒れ件数：四半期に５万請求先→250億くらいの損失
99.8%は回収できてる。",2020-07-08T05:06:58.116,2020-07-08T05:06:58.116
8,余実,1,予定と実績,2020-07-08T05:06:58.117,2020-07-08T05:06:58.117
9,DFS1.7,1,"レベルDBベース。ストアのバージョン。
DFSは内製KVS製品。分散ファイルシステム (Distributed File System)。中身はRocksDBとか",2020-07-08T05:06:58.118,2020-07-08T05:06:58.118
10,DWH,1,DataWareHouse: 蓄積された大量の業務データを各システムより連携し、各項目間の関連性を分析するシステム。,2020-07-08T05:06:58.119,2020-07-08T05:06:58.119
11,ST環境,1,開発工程のひとつ。システムテスト環境という環境名を示す場合もある。,2020-07-08T05:06:58.120,2020-07-08T05:06:58.120
12,Nifi,1,NifiはApacheNifiというMW(Middleware),2020-07-08T05:06:58.121,2020-07-08T05:06:58.121
13,nginx,1,一般用語。webサーバ製品。Apacheと比較すると、同時リクエストの処理が得意。,2020-07-08T05:06:58.122,2020-07-08T05:06:58.122
14,APサーバー,1,アプリケーションサーバーの略,2020-07-08T05:06:58.123,2020-07-08T05:06:58.123
15,ESB,1,Enterprise Service Bus。プロトコルによらず、サーバー同士を接続するもの,2020-07-08T05:06:58.124,2020-07-08T05:06:58.124
16,Vソック→VSOC,1,"VSOC（VirtualSecurityOperationCenter）
そもそもSOCというものがあり、セキュリティレベルの高い作業場所を指す。
※要は商用環境に変更をかけるような作業はセキュリティレベルの高い場所で実施する必要がある。（データの持ち込み持ち出しが出来ないように）
VSOCはその作業を各自のローカルPCから実施できる特別な環境を指す。",2020-07-08T05:06:58.125,2020-07-08T05:06:58.125
17,Tealeaf,1,IBM Customer Experience Analytics による顧客体験管理,2020-07-08T05:06:58.126,2020-07-08T05:06:58.126
18,zabbix agent,1,稼働情報データをローカルで収集し、Zabbixで処理を行うためにZabbixサーバに情報を報告,2020-07-08T05:06:58.127,2020-07-08T05:06:58.127
19,appdynamics,1,Webサイトやスマートフォンアプリなどのトランザクションすべてを可視化し、UXを損なうシステパフォーマンスの問題を早期発見、解消できるAPM（アプリケーション・パフォーマンス・マネジメント）製品,2020-07-08T05:06:58.128,2020-07-08T05:06:58.128
20,UFT・QTP,1,UTFは自動機能テストツール。Unified Functional Testing ( 旧QuickTest Professional)の略。機能テスト、回帰テスト、およびサービステストに使用されます,2020-07-08T05:06:58.129,2020-07-08T05:06:58.129
21,Ansible,1,レッドハットが開発するオープンソースの構成管理ツールである。サーバを立ち上げる際、あらかじめ用意した設定ファイルに従って、ソフトウェアのインストールや設定を自動的に実行する事が出来る。,2020-07-08T05:06:58.130,2020-07-08T05:06:58.130
22,JMeter,1,Apacheソフトウェア財団にて開発されているソフトウェアで、クライアント・サーバシステムのパフォーマンス測定および負荷テストを行うJavaアプリケーションである。HTTPレスポンスの内容の妥当性を判定することもできるため、パフォーマンステストのみならず、機能テストに使用することも可能である,2020-07-08T05:06:58.131,2020-07-08T05:06:58.131
23,基盤に調達依頼,1,サービスを提供するサーバを基盤チームから調達する必要がある,2020-07-08T05:06:58.132,2020-07-08T05:06:58.132
24,FW申請,1,社内は必要な通信以外は全て拒否する設定を申請,2020-07-08T05:06:58.133,2020-07-08T05:06:58.133
25,システム切替判定,1,作ったシステムがお客様が利用できる状態にしてよいか、の判定を行う工程,2020-07-08T05:06:58.134,2020-07-08T05:06:58.134
26,デプロイ,1,一般用語。,2020-07-08T05:06:58.135,2020-07-08T05:06:58.135
27,規制のユーティリティー,1,"障害が発生した際などに、一時的にシステムへのアクセスを規制すること。
この話題では、規制の機能を共通化（ユーティリティ化）が予定されているが、その提供が遅延しているという話だった。",2020-07-08T05:06:58.136,2020-07-08T05:06:58.136
28,規制連絡,1,規制について関係者に周知や依頼をすること。,2020-07-08T05:06:58.137,2020-07-08T05:06:58.137
29,どうかく,1,動作確認。略して「動確」,2020-07-08T05:06:58.138,2020-07-08T05:06:58.138
30,TSVal,1,Linux上の設定であるTimeStampValueの略,2020-07-08T05:06:58.139,2020-07-08T05:06:58.139
31,Ph1,1,フェーズ,2020-07-08T05:06:58.140,2020-07-08T05:06:58.140
32,動作確認自動化,1,システムの正常稼働を確認するために、「動作確認」を手動で実施しているが、これを自動化するツールを作成している,2020-07-08T05:06:58.141,2020-07-08T05:06:58.141
33,マスターとスレーブ,1,複数の機器が協調動作する際に、複数機器の制御・操作を司る「マスター」機と、マスター機の一方的な制御下で動作する「スレーブ」機に役割を分担する方式,2020-07-08T05:06:58.142,2020-07-08T05:06:58.142
34,対応および決定事項における「クローズ」,1,"課題やAIを管理するステータスのひとつ。
完了＝クローズという。",2020-07-08T05:06:58.143,2020-07-08T05:06:58.143
35,資材,1,リリースするWarファイルやEarファイルの総称。例えばサーバにリリースするファイルなどを言います。,2020-07-08T05:06:58.144,2020-07-08T05:06:58.144
36,MTG,1,会議。Meetingの略,2020-07-08T05:06:58.145,2020-07-08T05:06:58.145
37,穴あけフォーム,1,FireWall申請を行うための申請フォーム。,2020-07-08T05:06:58.146,2020-07-08T05:06:58.146
38,CX,1,一般用語。カスタマー・エクスペリエンス,2020-07-08T05:06:58.147,2020-07-08T05:06:58.147
39,40系のエラー,1,httpのエラー404エラーとか,2020-07-08T05:06:58.148,2020-07-08T05:06:58.148
40,アカパス,1,アカウント/パスワードの略称,2020-07-08T05:06:58.149,2020-07-08T05:06:58.149
41,ステータスコマンド,1,"ステータス確認のコマンド
service wildfly_01 status
↑のコマンドでwildflyサービスが起動しているか否かを確認するコマンド",2020-07-08T05:06:58.150,2020-07-08T05:06:58.150
42,スレッドダンプ,1,Java 仮想マシン（JVM）で現在アクティブなすべての Java スレッドのリスト,2020-07-08T05:06:58.151,2020-07-08T05:06:58.151
43,ヒープダンプ,1,,2020-07-08T05:06:58.152,2020-07-08T05:06:58.152
44,フェイルオーバー,1,現用系コンピュータサーバ/システム/ネットワークで異常事態が発生したとき、自動的に冗長な待機系コンピュータサーバ/システム/ネットワークに切り換える機能を意味する。,2020-07-08T05:06:58.153,2020-07-08T05:06:58.153
45,シャーディング,1,データを複数のサーバに分散させる機能,2020-07-08T05:06:58.154,2020-07-08T05:06:58.154
46,psコマンド,1,Linux上で現在動作しているプロセスを表示するコマンド,2020-07-08T05:06:58.155,2020-07-08T05:06:58.155
47,リファラーチェック,1,"リファラとは、どこのページからジャンプしてきたか(リンクされていたか)をあらわすものです。参考URLのように、サーバ側で取得することができます。

アクセスログを解析することにより、どこのページからリンクされているかを知ることができます。
",2020-07-08T05:06:58.156,2020-07-08T05:06:58.156
48,モック,1,一般用語。モックとスタブはセットで。,2020-07-08T05:06:58.157,2020-07-08T05:06:58.157
49,モジュール,1,一般用語。ハードウェアやソフトウェアを構成する個々の部品のこと,2020-07-08T05:06:58.158,2020-07-08T05:06:58.158
50,対向システム,1,連携先システムのこと。,2020-07-08T05:06:58.159,2020-07-08T05:06:58.159
51,くち開けっぱ,1,規制をせずに「使える状態」のこと。,2020-07-08T05:06:58.160,2020-07-08T05:06:58.160
52,コネクションプール,1,ゲストカード貸出型接続方式のこと。接続した状態を最初からいくつか用意しておいて、何か用事がある人にはその接続を貸してあげることで、いちいち接続する手間を軽減する機能のこと,2020-07-08T05:06:58.161,2020-07-08T05:06:58.161
53,スイッチオーバー,1,スイッチオーバー（英: Switchover）とは、あるコンピュータ・サーバ/システム/ネットワークから冗長あるいは待機のサーバ/システム/ネットワークへと、手動で切り替えることを指す。 通常、何らかの異常が発生したときに行う。 フェイルオーバーとは異なり、人手による介入が発生する。,2020-07-08T05:06:58.162,2020-07-08T05:06:58.162
54,zabbix,1,ネットワーク管理ソフトウェアである。様々なネットワークサービス、サーバ 、その他のネットワークハードウェアのステータスを監視・追跡できる。,2020-07-08T05:06:58.163,2020-07-08T05:06:58.163
55,ノード復旧,1,ノード障害から復旧させること,2020-07-08T05:06:58.164,2020-07-08T05:06:58.164
56,ノード障害,1,電源やCPUなどのハードウエア障害やOS障害などの理由でサーバーが処理を継続できない状態,2020-07-08T05:06:58.165,2020-07-08T05:06:58.165
57,GC,1,ガベージコレクション,2020-07-08T05:06:58.166,2020-07-08T05:06:58.166
58,SLA,1,SLA＝サービスレベルアグリーメント。サービスを提供事業者とその利用者の間で結ばれるサービスのレベル（定義、範囲、内容、達成目標等）に関する合意サービス水準、サービス品質保証,2020-07-08T05:06:58.167,2020-07-08T05:06:58.167
59,Fix pack,1,一般的にそれまでに発見された製品不具合の修正が為された修正ファイルという意味合い,2020-07-08T05:06:58.168,2020-07-08T05:06:58.168
60,IVR(Intractive Voice Response),1,顧客などからの電話による問い合わせに、音声案内によって自動的に応答を行うコンピュータシステム。,2020-07-08T05:06:58.169,2020-07-08T05:06:58.169
61,プーリング,1,コネクションプールすることをプーリングと呼んでいる,2020-07-08T05:06:58.170,2020-07-08T05:06:58.170
62,F/O,1,フェイルオーバーの略,2020-07-08T05:06:58.171,2020-07-08T05:06:58.171
63,LB切り離し/切り戻し,1,NW機器であるLaodBalancerからの振り分けをしないことを、LB切り離し。再び振り分け開始することをLB切り戻し。LBとは、外部から送られてくるデータや処理要求を、同等に機能する複数の装置に振り分けて一台あたりの負荷を抑える装置,2020-07-08T05:06:58.172,2020-07-08T05:06:58.172
64,PR環境(試験)/PT環境,1,"PR = 商用
PT ＝ 性能試験環境",2020-07-08T05:06:58.173,2020-07-08T05:06:58.173
65,蓋開け,1,システムを使える状況にすること,2020-07-08T05:06:58.174,2020-07-08T05:06:58.174
66,リスケ,1,リスケジュール,2020-07-08T05:06:58.175,2020-07-08T05:06:58.175
67,Sorry/Sorryサーバ,1,webがつぶれていた時に、お客様にごめんなさいを返す,2020-07-08T05:06:58.176,2020-07-08T05:06:58.176
68,データクリーニング,1,（＝データクレンジア）データベースの中から誤りや重複を洗い出し、異質なデータを取り除いて整理すること。,2020-07-08T05:06:58.177,2020-07-08T05:06:58.177
69,名寄せ基盤,1,「名寄せ」は一般用語,2020-07-08T05:06:58.178,2020-07-08T05:06:58.178
70,Listenerを落とす/DBプロセスを落とす,1,DB運用試験でDBがダウンさせたいが、本当にダウンさせることはできないので、ダウンさせることに相当するやり方。,2020-07-08T05:06:58.179,2020-07-08T05:06:58.179
71,Hawkeye,1,ちょっと前まで使用していた監視システムの名称で、内製のシステム。今はAPOLLONに切り替わっている,2020-07-08T05:06:58.180,2020-07-08T05:06:58.180
72,追い付き,1,現行とJediPJで並行開発している場合に、現行システムで発生した新規の要件に追いつくための活動,2020-07-08T05:06:58.181,2020-07-08T05:06:58.181
73,"war, ear, jar",1,warが固まったものがear。フロントはwarが多い,2020-07-08T05:06:58.182,2020-07-08T05:06:58.182
74,NSSDC,1,NSSOL Software Development Cloudの略。開発プロセスや成果物・プロセス管理ツール群を標準化しクラウドサービスとして提供,2020-07-08T05:06:58.183,2020-07-08T05:06:58.183
75,ティアー,1,Appdynamics関連用語,2020-07-08T05:06:58.184,2020-07-08T05:06:58.184
76,CDN,1,"一般用語
バーストトラフィックに耐えるために、利用する外部サービス",2020-07-08T05:06:58.185,2020-07-08T05:06:58.185
77,DNS,1,DomainNameSystem,2020-07-08T05:06:58.186,2020-07-08T05:06:58.186
78,リバースプロキシ,1,Webサーバの負荷やセキュリティリスクを低減するための機能。,2020-07-08T05:06:58.187,2020-07-08T05:06:58.187
79,ETL,1,ETL(Extract/Transform/Load)は、データウェアハウスにデータを実際にロードする方法,2020-07-08T05:06:58.188,2020-07-08T05:06:58.188
80,ST,1,System Test。システムやソフトウェア全体が仕様書通りにできているか、求められている機能や性能が満たされているかを確認し、システムの品質を確保するために行う,2020-07-08T05:06:58.189,2020-07-08T05:06:58.189
81,リリース,1,納品。S-inは本番環境導入（お披露目）,2020-07-08T05:06:58.190,2020-07-08T05:06:58.190
82,playbook,1,Ansible関連用語：Ansibleの実行ファイル,2020-07-08T05:06:58.191,2020-07-08T05:06:58.191
83,データソース向き先変更ジョブ,1,データソースの使い分けをするバッチ。,2020-07-08T05:06:58.192,2020-07-08T05:06:58.192
84,クライテリア,1,評価指標、判断基準,2020-07-08T05:06:58.193,2020-07-08T05:06:58.193
85,商用作業禁止,1,ミスれないときに設定される,2020-07-08T05:06:58.194,2020-07-08T05:06:58.194
86,ua判定,1,ブラウザのUserAgentを調べて、ユーザーのブラウザ名・バージョン・デバイスの種類を判定すること。OS判定の後にアクセス規制するかどうか検討するために使用される。,2020-07-08T05:06:58.195,2020-07-08T05:06:58.195
87,けじまってる,1,"けじめがついている、のこと。
ビジネス用語？

きちんと決着をつけている、結論を出して役割を決めている、という意味。",2020-07-08T05:06:58.196,2020-07-08T05:06:58.196
88,べき論,1,義務を果たすこと、理想を実現しなければならないことなどを強く主張する論調,2020-07-08T05:06:58.197,2020-07-08T05:06:58.197
89,TBD,1,To Be Determined。現在未決定だが、将来決定する,2020-07-08T05:06:58.198,2020-07-08T05:06:58.198
90,EAP,1,"RH製のOSS製品。
JBoss Enterprise Application Platformの略称。
料金ChronosではRPEを乗せるMWとして採用している。
",2020-07-08T05:06:58.199,2020-07-08T05:06:58.199
91,E/U,1,エンドユーザ,2020-07-08T05:06:58.200,2020-07-08T05:06:58.200
92,線表,1,作業や計画の段取り、進行状況などを時系列順に線で示した表。,2020-07-08T05:06:58.201,2020-07-08T05:06:58.201
93,KVS,1,KVS（Key-Value Store）は、KeyとValueを組み合わせる単純な構造からなるデータストアです。Keyを指定すると、Keyに関連付けられたValueが呼び出される仕組みとなっています。,2020-07-08T05:06:58.202,2020-07-08T05:06:58.202
94,H2 Database,1,,2020-07-08T05:06:58.203,2020-07-08T05:06:58.203
95,コヒーレンス,1,"一般的には、OracleCoherence（製品）のこと。
とりわけSBでは、COPから料金系のChronos向けに展開される加入者情報を保持するデータサーバのこと。

SBMでは、加入者情報をインメモリでデータ分散して保持し、ChronosBilling/Paymentに提供している。",2020-07-08T05:06:58.204,2020-07-08T05:06:58.204
96,XC,1,クロスチェック,2020-07-08T05:06:58.205,2020-07-08T05:06:58.205
97,Hadoop,1,Apache Hadoopは大規模データの分散処理を支えるオープンソースのソフトウェアフレームワークであり、Javaで書かれている。 Hadoopはアプリケーションが数千ノードおよびペタバイト級のデータを処理することを可能としている,2020-07-08T05:06:58.206,2020-07-08T05:06:58.206
98,貸し倒れ,1,"売掛金や貸付金などが回収できなくなり、損失となること
SBではどうか？↓
貸し倒れ件数：四半期に５万請求先→250億くらいの損失
99.8%は回収できてる。",2020-07-08T05:06:58.207,2020-07-08T05:06:58.207
99,返戻,1,顧客が滞納していたお金を返してもらうこと,2020-07-08T05:06:58.208,2020-07-08T05:06:58.208
100,ElasticSearch,1,"略称ES。 Elastic 社が開発しているオープンソースの全文検索エンジンです。 
大量のドキュメントから目的の単語を含むドキュメントを高速に抽出することができます。",2020-07-08T05:06:58.209,2020-07-08T05:06:58.209
101,コンティンジェンシー,1,(-プラン)予期せぬ事態に備えて、予め定めておく緊急時対応計画,2020-07-08T05:06:58.210,2020-07-08T05:06:58.210
102,act-act,1,運用待機型、ロードバランスクラスタ、負荷分散クラスタ、両現用構成、Active-Active構成、ACT-ACT構成。アクティブ/アクティブ構成とは、同じシステムを複数用意して耐障害性を高めたシステムで、すべての系統を常に同時に稼動させる方式,2020-07-08T05:06:58.211,2020-07-08T05:06:58.211
103,session persistence,1,セッション管理（割り振りを覚えておく機能がある）,2020-07-08T05:06:58.212,2020-07-08T05:06:58.212
104,act-stan,1,相互待機型、フェイルオーバークラスタ、Active-Standby構成、アクティブ/パッシブ構成、Active-Passive構成、ACT-SBY構成。アクティブ/スタンバイ構成とは、同じシステムを複数用意して耐障害性を高めたシステムで、幾つか(2系統の場合は片方)を待機状態にして、障害時に切り替えて処理を引き継ぐ方式,2020-07-08T05:06:58.213,2020-07-08T05:06:58.213
105,win-winのベストソリューション,1,"・win-win（ビジネス）の関係＝お互いが利益を得る方法
・ベストソリューション＝よい解決方法。おもにSIやコンサル向けに皮肉で使うことがある
",2020-07-08T05:06:58.214,2020-07-08T05:06:58.214
106,PSSOL,1,"PS Solutions株式会社のこと

SB子会社
いまのやり取りとしては、（主に）大連でのオフショア開発を行うためのソフトウェア開発の取りまとめ会社として契約している。

＜流れ＞
　SB→PSSolに開発依頼→Pssolから大連なりベトナムなりフィリピンなりの開発会社に発注",2020-07-08T05:06:58.215,2020-07-08T05:06:58.215
107,TMPS,1,"テレコムプロフェッショナルサービス株式会社
のこと


まだHPは無いみたい",2020-07-08T05:06:58.216,2020-07-08T05:06:58.216
108,ITO,1,"一般的には、ITアウトソーシングのこと


主に、PssolのITO契約およびPSSol内の事業部門として出てくる事が多い。

======= PSSolの要求仕様書の契約メールからの抜粋 =======

ITO事業とは、​、、​
システム開発・保守、運転・監視業務、試験業務、DC基盤業務等、日本国内（​ニアショア、​オンサイト）および、オフショア（中国／大連、ベトナム、​フィリピン）を​活用した、ITアウトソーシング（ITO）サービスとなります。​",2020-07-08T05:06:58.217,2020-07-08T05:06:58.217
109,低圧,1,低圧向け電力小売り事業を始めるにあたり、督促のスケジュールが通常と少し違うために設けた督促のアクションのこと。,2020-07-08T05:06:58.218,2020-07-08T05:06:58.218
110,スナップショット/snapshot,1,VMの設定。イメージをコピーする（OSからアプリケーションまでの設定をコピーする）,2020-07-08T05:06:58.219,2020-07-08T05:06:58.219
111,オープンスタック/openstack,1,VMwareみたいなもの。VMWareより品質が低めらしいが、広いサービスに対応している。,2020-07-08T05:06:58.220,2020-07-08T05:06:58.220
112,SPA,1,Single Page Applicationの略。単一のページでコンテンツの切り替えを行うWebアプリケーションのアーキテクチャの名称。,2020-07-08T05:06:58.221,2020-07-08T05:06:58.221
113,KGI,1,Key Goal Indicatorの略。最終目標が達成されているかを計測するための指標のこと。,2020-07-08T05:06:58.222,2020-07-08T05:06:58.222
114,KPI,1,Key Performance Indicatorの略。KGIを達成するための、過程を計測する中間指標のこと。,2020-07-08T05:06:58.223,2020-07-08T05:06:58.223
115,ジョブシャドウイング,1,UI・UXデザインを作る際、どのような製品を作ればよいか調べるため、ユーザーの行動を観察すること。,2020-07-08T05:06:58.224,2020-07-08T05:06:58.224
116,コンテキストインタビュー,1,シャドウイングでの相手の行動について、当人に質問すること。,2020-07-08T05:06:58.225,2020-07-08T05:06:58.225
117,ペルソナ,1,ユーザーリサーチで得た情報を、具体的に反映させた架空の人物像のこと。,2020-07-08T05:06:58.226,2020-07-08T05:06:58.226
118,カスタマージャーニーマップ,1,顧客の行動や心理を時系列的に可視化したもの。,2020-07-08T05:06:58.227,2020-07-08T05:06:58.227
119,EFO,1,Entry Form Optimization( エントリーフォーム最適化 )の略称。入力フォームをユーザーにとって分かりやすく、使いやすくすること。,2020-07-08T05:06:58.228,2020-07-08T05:06:58.228
120,CVR,1,Conversion Rate( コンバージョン率 )の略称。フォームの入力完了率。,2020-07-08T05:06:58.229,2020-07-08T05:06:58.229
121,オムニチャネル,1,顧客がブランドの全ての接点において同じ品質のサービス体験ができること。,2020-07-08T05:06:58.230,2020-07-08T05:06:58.230
122,Disruptor,1,市場を混乱させるほど画期的なビジネスを展開しているスタートアップ企業,2020-07-08T05:06:58.231,2020-07-08T05:06:58.231
123,インセプションデッキ,1,,2020-07-08T05:06:58.232,2020-07-08T05:06:58.232
124,エレベーターピッチ,1,,2020-07-08T05:06:58.233,2020-07-08T05:06:58.233
125,AHT,1,平均処理時間（Average Handling Time）の略称。コールセンターにおいて、オペレーターが顧客からの問い合わせを処理する時間の平均のこと。,2020-07-08T05:06:58.234,2020-07-08T05:06:58.234
126,バニラ,1,コンピュータソフトウェア、まれにコンピュータのハードウェアまたはアルゴリズムなどで、改変・改修・カスタマイズなどが一切行われていない、提供された状態のまま（原型を留めたままの状態）を指す。,2020-07-08T05:06:58.110,2020-07-08T05:06:58.110